,Time,Tweets,Tweeter,Likes
93,2021-05-17 10:39:14,"Every year, we talk about this same person. And this same clinic.  Somehow you people will still go back there and give us a reason to talk about it again.  Please share this with everyone that you know- and the lesson here is simple: Do your research. And avoid dubious clinics.",DrOlufunmilayo,189
94,2021-05-17 10:38:15,“Oh it is cheaper” “Oh you don’t have to travel abroad” “Oh within 2 days you can slay”  These are the things they use to lure you. This is how they deceive you.  Please be aware: A very good plastic surgery is NEVER cheap. NEVER ever cheap.  Wether done in Lagos or Los Angeles.,DrOlufunmilayo,209
95,2021-05-17 10:37:45,The same reason there are eateries where they use paracetamol to soften meat (and ruin the kidneys of their customers with paracetamol overdose) yet those eateries are not closed down;  That is exactly the same reason some “clinics” are nothing but abattoirs and slaughterhouses.,DrOlufunmilayo,168
96,2021-05-17 10:37:21,"“So why is Dr Anu clinic not shut down?”  Well, because this is a country where anybody can run a “clinic” without any regulation or monitoring by appropriate authorities.  If you are waiting for the govt, Instead of you to do your own research, You may be dead before you learn.",DrOlufunmilayo,170
97,2021-05-17 10:29:26,"I have no issues with anyone trying to surgically increase their breasts or backside or whatever.  Your body. Your money. Your business.  But if you are going to do something of that nature, can you people pls try to at least research the place/doctor doing the surgery for you?",DrOlufunmilayo,205
98,2021-05-17 10:23:10,ANOTHER REMINDER: Dr Anu is NOT a surgeon. Dr Anu is NOT licensed to do surgeries.  2019: A Beauty Queen died in Dr Anu operation theatre. 2020: Dr Anu damaged Omohtee bumbum. 2021: Dr Anu has ruined another woman’s buttocks.  Dr Anu🤝Ruining women’s lives: One bumbum at a time.,DrOlufunmilayo,1884
99,2021-05-17 08:01:25,What can be changed include:  You exercising You avoiding diets that have high salt content You not being overweight You avoiding excessive alcohol You stop smoking You managing stress and limiting bad stress.,aproko_doctor,1256
100,2021-05-17 08:01:25,There are some factors that you can't change such as  Your Race: blacks are more susceptible to hypertension Your family history: you're more likely if there is Your age: the older you get the likelier Your gender: Men are more likely to be hypertensive until age 65 then it flips,aproko_doctor,812
101,2021-05-17 08:01:24,"There are two kinds of hypertension 1. Primary 2. Secondary  Most people have the primary type. This type is called so because we haven't been able to tell exactly what causes it  But it is related to factors such as genes, and environment, diet, weight, etc",aproko_doctor,390
102,2021-05-17 08:01:24,"The secondary kind is caused by a disorder,  E.g: kidney disease obstructive sleep apnea congenital heart defects Thyroid problems side effects of medications use of illegal drugs alcohol abuse or chronic use adrenal gland problems Some kind of tumors",aproko_doctor,380
103,2021-05-17 08:01:23,"What is at the other end too.  At first, there are no symptoms. But even without symptoms, high blood pressure can damage to your blood vessels and organs, especially the brain, heart, eyes, and kidneys.  More importantly the brain, heart and kidneys.  That's when symptoms start.",aproko_doctor,387
104,2021-05-17 08:01:23,"Hypertension is generally a silent condition. Thats why its called the silent killer  Many people won’t notice any symptoms. It may take years or even decades for the condition to reach levels severe enough that symptoms become obvious.  By then, damage would have occured",aproko_doctor,390
105,2021-05-17 08:01:22,"Narrow blood vessels increase resistance. The narrower your vessels are, the higher your blood pressure will be. Because it has to overcome that resistance.  Over the long term, this increased pressure can cause numerous health issues, including heart disease, blindness etc.",aproko_doctor,482
106,2021-05-17 08:01:22,"Hypertension, happens when your blood pressure increases to high levels.  Your blood pressure measurement takes into account how  blood is passes through your blood vessels and how much resistance the blood meets while the heart is pumping.",aproko_doctor,650
107,2021-05-17 08:01:22,"I explain it this way: imagine forcing the amount of water coming out from your kitchen tap through a straw.  A couple of things happen, to get the same water at the other end, you have to literally force the water through. This affects the straw too and the pressure destroys...",aproko_doctor,446
108,2021-05-17 08:01:21,"I remember when I was 27 years old, I was in a maternity ward full with women in different stages of labor  I had been having a really bad headache so I decided to check my blood pressure only to see 180/120mmHg. Would have had a stroke.  I got admitted #WorldHypertensionDay",aproko_doctor,9151
109,2021-05-17 08:01:21,"I spent the next few days resting.   Then it finally hit me. Even though I was a doctor, I was not exempt from getting this disease.  That is one of the reasons I shout on this app, your age is not protection against high blood pressure. Can happen to anyone.",aproko_doctor,1108
110,2021-05-17 06:56:48,"Dr Anu is trending again,  This is another day to remind you all that a badly-done surgery can cause: •Serious bleeding •Severe infection •Terrible scars •Permanent disfigured buttocks  And sometimes, If that infection is serious enough, YOU CAN DIE.  Let everybody see this.",DrOlufunmilayo,1336
111,2021-05-16 21:17:50,I should have a Twitter space session soon. Who should I invite?,aproko_doctor,4528
112,2021-05-16 20:18:23,If the trumpet blows at night 😂  The only reason some of you will not hear it is because you are always in the kitchen late at night using microwave to warm vegetable and drawsoup while you are sweating to turn Eba.  Ope will still read this tweet and ignore.,DrOlufunmilayo,1366
113,2021-05-16 16:18:54,Recommend audiobooks for me to listen to.,aproko_doctor,2260
114,2021-05-16 15:58:28,“Oh she started having big butts after sex” Lmao. All lies. She’s only growing as she naturally would have.  Don’t let someone scam you. Or deceive you.  Men love women who continue to hold on to this myth 😂 but the truth should be put out there.  Doggy never causes big butts.,DrOlufunmilayo,656
115,2021-05-16 15:56:46,"Women from families where other women have big butts eventually have it.  Black/African women tend to have bigger butts than whites.  Women generally tend to grow bigger butts after getting pregnant and having babies.  These are mostly the proven causes for big butts, my dears.",DrOlufunmilayo,563
116,2021-05-16 15:53:59,"Women that will have big butts/big hips would have it eventually- regardless of sex or sex position.  Very big butts is largely a result of Genetics, Fatty food, Race/Country, Pregnancy, Childbirth, Surgery, Using hormone medications.  That’s about it. Has NOTHING to do with sex.",DrOlufunmilayo,652
117,2021-05-16 15:51:27,"Let me not lie to you: Big bum is genetic majorly.  It tends to run in family. If you are not from a family with big butts, you may never have one no matter what you do.  People who have it mostly did nothing to get it. Don’t let Rilwan use doggy panelbeat your bumbum. Na scam o.",DrOlufunmilayo,1044
118,2021-05-16 15:39:07,"I woke up and saw #doggy trending. E no concern me  But let us clear the air: Doggy does not increase bumbum. Doggy does not increase bumbum. Doggy does not increase bumbum. Doggy does not increase bumbum.  If you have been doing doggy for big bumbum, you are just doing giveaway.",DrOlufunmilayo,6783
119,2021-05-16 15:19:27,"Nigerian politicians will get into power and ask us to pray for the same issues they were ""elected"" to solve.",aproko_doctor,21105
120,2021-05-16 12:51:16,Expect good things to happen for you. The people it's happening for don't have two heads.,aproko_doctor,16908
121,2021-05-15 21:01:25,The word is “well-deserved”. Pronounced with the d at the end.  Not well-disav. Yoruba Nollywood please now.,DrOlufunmilayo,825
122,2021-05-15 18:17:39,Hug a Chelsea fan. Lmao.,aproko_doctor,7380
123,2021-05-15 14:00:44,"One thing I learnt early whenever my wife tells me where I messed up is not to get defensive. It doesn't matter who's right or wrong.  Learnt to listen to ""how"" my actions affected her, if you always get defensive, people stop telling you shxt.  Don't take it as an attack.",aproko_doctor,15027
124,2021-05-15 13:03:45,"And finally,  When you have a hangover, Do NOT drink more alcohol, it doesn’t solve the problem. It’s a myth.  Excessive regular alcohol drinking carries the risk of hangovers, alcohol addiction, obesity, weight gain, liver problems, kidney problems and death.  Happy weekend o.",DrOlufunmilayo,1247
125,2021-05-15 13:01:15,For the thirst and dehydration: Drink lots of water and fruit juice. That supplies you enough fluids to deal with the dehydration.  Soda water is also okay.  But stay away from caffeine or coffee drinks- there is no compelling proof that it helps with a hangover. It’s a myth.,DrOlufunmilayo,806
126,2021-05-15 13:00:51,"NEVER take aspirin, ibuprofen, piroxicam, or any medication called a “non steroidal anti inflammatory drug” after a hangover.  The reason is because these medications can lead to stomach irritation, bleeding from the stomach, liver damage and vomiting of blood.  Pls be careful.",DrOlufunmilayo,906
